code,label,value
HEA,Physical Therapy Assisting,HEA-PhysicalTherapyAssisting
HEA,Veterinarian Assisting/Technology,HEA-VeterinarianAssistingTechnology
HEA,– not listed here –,HEA-notlistedhere
SCI,Chiropractic (Pre-Chiropractic),SCI-ChiropracticPreChiropractic
SCI,Dental Hygiene,SCI-DentalHygiene
SCI,Dentistry (Pre-Dentistry),SCI-DentistryPreDentistry
SCI,Emergency Medical Technology,SCI-EmergencyMedicalTechnology
SCI,"Health-Related Professions & Services, General",SCI-HealthRelatedProfessionsServicesGeneral
SCI,Athletic Training,SCI-AthleticTraining
SCI,"Communication Disorder Services (e.g., Speech Pathology)",SCI-CommunicationDisorderServicesegSpeechPathology
SCI,Public Health,SCI-PublicHealth
SCI,"Health/Medical Technology, General",SCI-HealthMedicalTechnologyGeneral
SCI,Medical Laboratory Technology,SCI-MedicalLaboratoryTechnology
SCI,Medical Radiologic Technology,SCI-MedicalRadiologicTechnology
SCI,Nuclear Medicine Technology,SCI-NuclearMedicineTechnology
SCI,Respiratory Therapy Technology,SCI-RespiratoryTherapyTechnology
SCI,Surgical Technology,SCI-SurgicalTechnology
SCI,Medicine (Pre-Medicine),SCI-MedicinePreMedicine
SCI,"Nursing, Practical/Vocational (LPN)",SCI-NursingPracticalVocationalLPN
SCI,"Nursing, Registered (BS/RN)",SCI-NursingRegisteredBSRN
SCI,Optometry (Pre-Optometry),SCI-OptometryPreOptometry
SCI,Osteopathic Medicine,SCI-OsteopathicMedicine
SCI,Pharmacy (Pre-Pharmacy),SCI-PharmacyPrePharmacy
SCI,Physician Assisting,SCI-PhysicianAssisting
SCI,"Therapy & Rehabilitation, General",SCI-TherapyRehabilitationGeneral
SCI,Alcohol/Drug Abuse Counseling,SCI-AlcoholDrugAbuseCounseling
SCI,Massage Therapy,SCI-MassageTherapy
SCI,Mental Health Counseling,SCI-MentalHealthCounseling
SCI,Occupational Therapy,SCI-OccupationalTherapy
SCI,Physical Therapy (Pre-Physical Therapy),SCI-PhysicalTherapyPrePhysicalTherapy
SCI,Psychiatric/Mental Health Technician,SCI-PsychiatricMentalHealthTechnician
SCI,Rehabilitation Therapy,SCI-RehabilitationTherapy
SCI,Vocational Rehabilitation Counseling,SCI-VocationalRehabilitationCounseling
SCI,Veterinary Medicine (Pre-Veterinarian),SCI-VeterinaryMedicinePreVeterinarian
SCI,– not listed here –,SCI-notlistedhere
PHI,Philosophy,PHI-Philosophy
PHI,Religion,PHI-Religion
PHI,"Theology, General",PHI-TheologyGeneral
PHI,Bible/Biblical Studies,PHI-BibleBiblicalStudies
PHI,Divinity/Ministry,PHI-DivinityMinistry
PHI,Religious Education,PHI-ReligiousEducation
PHI,– not listed here –,PHI-notlistedhere
REP,"Aviation & Airway Science, General",REP-AviationAirwayScienceGeneral
REP,Aircraft Piloting & Navigation,REP-AircraftPilotingNavigation
REP,Aviation Management & Operations,REP-AviationManagementOperations
REP,"Construction Trades (e.g., carpentry, plumbing, electrical)",REP-ConstructionTradesegcarpentryplumbingelectrical
REP,"Mechanics & Repairers, General",REP-MechanicsRepairersGeneral
REP,Aircraft Mechanics/Technology,REP-AircraftMechanicsTechnology
REP,Autobody Repair/Technology,REP-AutobodyRepairTechnology
REP,Automotive Mechanics/Technology,REP-AutomotiveMechanicsTechnology
REP,Avionics Technology,REP-AvionicsTechnology
REP,Diesel Mechanics/Technology,REP-DieselMechanicsTechnology
REP,Electrical/Electronics Equip Installation & Repair,REP-ElectricalElectronicsEquipInstallationRepair
REP,Heating/Air Cond/Refrig Install/Repair,REP-HeatingAirCondRefrigInstallRepair
REP,"Precision Production Trades, General",REP-PrecisionProductionTradesGeneral
REP,Machine Tool Technology,REP-MachineToolTechnology
REP,Welding Technology,REP-WeldingTechnology
REP,"Transportation & Materials Moving (e.g., air, ground, & marine)",REP-TransportationMaterialsMovingegairgroundmarine
REP,– not listed here –,REP-notlistedhere
SCI,"Biology, General",SCI-BiologyGeneral
SCI,Biochemistry & Biophysics,SCI-BiochemistryBiophysics
SCI,Cell/Cellular Biology,SCI-CellCellularBiology
SCI,Ecology,SCI-Ecology
SCI,Genetics,SCI-Genetics
SCI,Marine/Aquatic Biology,SCI-MarineAquaticBiology
SCI,Microbiology & Immunology,SCI-MicrobiologyImmunology
SCI,Zoology,SCI-Zoology
SCI,"Physical Sciences, General",SCI-PhysicalSciencesGeneral
SCI,Astronomy,SCI-Astronomy
SCI,Atmospheric Sciences & Meteorology,SCI-AtmosphericSciencesMeteorology
SCI,Chemistry,SCI-Chemistry
SCI,Geological & Earth Sciences,SCI-GeologicalEarthSciences
SCI,Physics,SCI-Physics
SCI,– not listed here –,SCI-notlistedhere
LAW,"Legal Studies, General",LAW-LegalStudiesGeneral
LAW,Court Reporting,LAW-CourtReporting
LAW,Law (Pre-Law),LAW-LawPreLaw
LAW,Legal Administrative Assisting/Secretarial,LAW-LegalAdministrativeAssistingSecretarial
LAW,Paralegal/Legal Assistant,LAW-ParalegalLegalAssistant
LAW,"Social Sciences, General",LAW-SocialSciencesGeneral
LAW,Anthropology,LAW-Anthropology
LAW,Criminology,LAW-Criminology
LAW,Economics,LAW-Economics
LAW,Geography,LAW-Geography
LAW,History,LAW-History
LAW,International Relations & Affairs,LAW-InternationalRelationsAffairs
LAW,Political Science & Government,LAW-PoliticalScienceGovernment
LAW,"Psychology, Clinical & Counseling",LAW-PsychologyClinicalCounseling
LAW,"Psychology, General",LAW-PsychologyGeneral
LAW,Sociology,LAW-Sociology
LAW,Urban Studies/Urban Affairs,LAW-UrbanStudiesUrbanAffairs
LAW,– not listed here –,LAW-notlistedhere
